Идентификатор;Место в России;Место в субъекте;Сумма баллов(общая);Наименование ОО;Сумма баллов (ОБРАЗОВАТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ);Место в блоке (ОБРАЗОВАТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ);Сумма баллов (МЕЖДУНАРОДНАЯ ДЕЯТЕЛЬНОСТЬ);Место в блоке (МЕЖДУНАРОДНАЯ ДЕЯТЕЛЬНОСТЬ);Сумма баллов (УРОВЕНЬ ПОДГОТОВКИ ВЫПУСКНИКОВ ОБРАЗОВАТЕЛЬНЫХ ПРОГРАММ СПО);Место в блоке (УРОВЕНЬ ПОДГОТОВКИ ВЫПУСКНИКОВ ОБРАЗОВАТЕЛЬНЫХ ПРОГРАММ СПО);Сумма баллов (ИНФРАСТРУКТУРА);Место в блоке (ИНФРАСТРУКТУРА);Сумма баллов (ФИНАНСОВО-ЭКОНОМИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ);Место в блоке (ФИНАНСОВО-ЭКОНОМИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ);Сумма баллов (КАДРОВЫЙ СОСТАВ);Место в блоке (КАДРОВЫЙ СОСТАВ);Сумма баллов (РЕАЛИЗАЦИЯ ПРОГРАММ ДПО);Место в блоке (РЕАЛИЗАЦИЯ ПРОГРАММ ДПО);Сумма баллов (СОЦИАЛЬНАЯ ОТВЕТСТВЕННОСТЬ);Место в блоке (СОЦИАЛЬНАЯ ОТВЕТСТВЕННОСТЬ);1.4.1 и 1.4.2;1.5.1 и 1.5.2;1.8;1.10;2.2;3.3.1 и 3.3.2;4.3;4.6;5.1;5.2;6.2;6.3;7.1;8.2;8.4;8.5;8.10
35;970;33;30;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Свердловский колледж искусств и культуры""";8;31;2;31;0;43;2;100;5;33;0;27;2;49;11;6; 100,00; 4,17; 61,11; 0,00; 0,96; 0,00; 14,14; 9,30; 96,10; 106,65; 0,00; 0,00; 98,63; 89,17; 100,00; 12,99; 0,00
36;970;33;30;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Берёзовский техникум ""Профи""";7;41;4;1;4;1;1;113;2;111;0;27;3;1;9;19; 54,74; 3,69; 0,78; 0,00; 2,70; 100,00; 0,00; 9,22; 100,92; 0,00; 0,00; 0,00; 100,00; 82,45; 100,00; 2,65; 0,00
37;970;33;30;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Областной техникум дизайна и сервиса""";8;31;2;31;1;32;5;27;1;127;0;27;3;1;10;9; 0,00; 4,12; 64,48; 0,00; 0,71; 33,33; 30,00; 21,02; 88,89; 0,00; 0,00; 0,00; 100,00; 67,16; 0,00; 10,34; 84,60
38;1093;38;29;"Краснотурьинский филиал государственного бюджетного профессионального образовательного учреждения ""Свердловский областной медицинский колледж""";8;31;1;45;0;43;3;72;5;33;2;15;3;1;7;46; 100,00; 3,81; 25,71; 2,06; 0,20; 0,00; 0,00; 8,34; 142,82; 143,87; 0,00; 10,53; 100,00; 72,94; 100,00; 0,00; 0,00
39;1214;39;28;"Каменск-Уральский филиал ГБПОУ ""СОМК""";7;41;1;45;0;43;2;100;6;18;0;27;3;1;9;19; 100,00; 3,95; 52,58; 0,54; 0,23; 0,00; 0,04; 0,29; 126,06; 272,68; 0,00; 0,00; 100,00; 57,94; 100,00; 23,21; 0,00
40;1214;39;28;"Верхнепышминский филиал ГБПОУ СО ""Уральский государственный коледж имени И.И.Ползунова""";5;64;4;1;0;43;4;49;8;1;0;27;3;1;4;92; 0,00; 3,57; 18,54; 0,59; 1,60; 0,00; 49,24; 2,76; 157,27; 1220,47; 0,00; 0,00; 100,00; 36,98; 0,00; 7,01; 0,00
41;1214;39;28;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Нижнетагильский педагогический колледж № 2""";7;41;0;74;2;20;1;113;7;9;4;5;3;1;4;92; 0,00; 3,78; 25,98; 0,68; 0,00; 66,67; 0,00; 6,76; 125,96; 389,03; 0,00; 94,61; 100,00; 33,48; 55,56; 0,00; 34,58
42;1214;39;28;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Нижнетагильский государственный профессиональный колледж имени Никиты Акинфиевича Демидова";6;53;2;31;2;20;4;49;5;33;0;27;3;1;6;58; 32,02; 3,62; 14,36; 0,00; 0,64; 69,23; 35,24; 17,80; 108,15; 89,28; 0,00; 0,00; 100,00; 39,35; 100,00; 2,66; 0,00
43;1214;39;28;Государственное автономное профессиональное образовательное учреждение Свердловской области «Каменск-Уральский агропромышленный техникум»;5;64;0;74;0;43;6;14;2;111;0;27;3;1;12;3; 37,20; 3,46; 4,67; 0,00; 0,00; 0,00; 34,94; 37,59; 100,30; 0,00; 0,00; 0,00; 100,00; 37,60; 100,00; 8,82; 266,74
44;1346;44;27;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Туринский многопрофильный техникум»;3;100;2;31;1;32;5;27;5;33;1;22;0;76;10;9; 4,84; 3,52; 15,91; 0,00; 0,54; 33,33; 50,79; 13,74; 125,23; 2,72; 0,00; 2,92; 0,00; 83,00; 100,00; 3,33; 0,00
